이름,키,출생연도,출신지,집권기간,약칭
이승만,172,1870,황해,9.0,Lee
윤보선,169,1890,충남,0.5,Yoon
박정희,162,1910,경북,18.0,President Part
최규하,182,1920,강원,0.5,Choi
전두환,172,1930,경남,7.0,Jeon
노태우,180,1930,경북,5.0,Noe
김영삼,172,1920,경남,5.0,Sam
김대중,170,1920,전남,5.0,Kim
이회창,168,1930,황해,0.0,Chang
노무현,165,1940,경남,5.0,Noe
이명박,175,1940,경북,5.0,Lee
박근혜,163,1950,경북,4.5,Park
문재인,173,1950,경남,5.0,Moon
윤석열,178,1960,서울,5.0,Seok
이재명,175,1960,경북,0.0,Lee
